id,time,inference_of_emotion
212,09:35:10,disgust
213,09:35:20,neutral
214,09:35:30,happy
215,09:35:40,sad
216,09:35:50,sad
217,09:36:00,neutral
218,09:36:10,disgust
219,09:36:20,angry
220,09:36:30,sad
221,09:36:40,sad
222,09:36:50,angry
223,09:37:00,happy
224,09:37:10,angry
225,09:37:20,happy
226,09:37:30,happy
227,09:37:40,happy
228,09:37:50,neutral
229,09:38:00,disgust
230,09:38:10,sad
231,09:38:20,angry
232,09:38:30,neutral
233,09:38:40,sad
234,09:38:50,angry
235,09:39:00,happy
236,09:39:10,happy
237,09:39:20,happy
238,09:39:30,neutral
239,09:39:40,neutral
240,09:39:50,neutral
241,09:40:00,disgust
242,09:40:10,disgust
243,09:40:20,neutral
244,09:40:30,neutral
245,09:40:40,disgust
246,09:40:50,sad
247,09:41:00,angry
248,09:41:10,happy
249,09:41:20,angry
250,09:41:30,happy
251,09:41:40,angry
252,09:41:50,neutral
253,09:42:00,neutral
254,09:42:10,angry
255,09:42:20,neutral
256,09:42:30,happy
257,09:42:40,sad
258,09:42:50,disgust
259,09:43:00,sad
260,09:43:10,angry
261,09:43:20,neutral
262,09:43:30,neutral
263,09:43:40,angry
264,09:43:50,sad
265,09:44:00,disgust
266,09:44:10,sad
267,09:44:20,happy
268,09:44:30,happy
269,09:44:40,sad
270,09:44:50,neutral
271,09:45:00,neutral
272,09:45:10,happy
273,09:45:20,disgust
274,09:45:30,sad
275,09:45:40,neutral
276,09:45:50,disgust
277,09:46:00,disgust
278,09:46:10,sad
279,09:46:20,neutral
280,09:46:30,disgust
281,09:46:40,neutral
282,09:46:50,sad
283,09:47:00,neutral
284,09:47:10,neutral
285,09:47:20,neutral
286,09:47:30,sad
287,09:47:40,angry
288,09:47:50,happy
289,09:48:00,sad
290,09:48:10,disgust
291,09:48:20,disgust
292,09:48:30,disgust
293,09:48:40,happy
294,09:48:50,neutral
295,09:49:00,angry
296,09:49:10,happy
297,09:49:20,sad
298,09:49:30,angry
299,09:49:40,sad
300,09:49:50,neutral
301,09:50:00,disgust
302,09:50:10,angry
303,09:50:20,angry
304,09:50:30,neutral
305,09:50:40,sad
306,09:50:50,disgust
307,09:51:00,sad
308,09:51:10,neutral
309,09:51:20,happy
310,09:51:30,disgust
311,09:51:40,sad
312,09:51:50,neutral
313,09:52:00,disgust
314,09:52:10,disgust
315,09:52:20,disgust
316,09:52:30,sad
317,09:52:40,sad
318,09:52:50,happy
319,09:53:00,sad
320,09:53:10,happy
321,09:53:20,sad
322,09:53:30,disgust
323,09:53:40,neutral
324,09:53:50,sad
325,09:54:00,sad
326,09:54:10,neutral
327,09:54:20,sad
328,09:54:30,neutral
329,09:54:40,angry
330,09:54:50,sad
331,09:55:00,sad
332,09:55:10,happy
333,09:55:20,angry
334,09:55:30,disgust
335,09:55:40,angry
336,09:55:50,disgust
337,09:56:00,angry
338,09:56:10,happy
339,09:56:20,sad
340,09:56:30,sad
341,09:56:40,happy
342,09:56:50,sad
343,09:57:00,neutral
344,09:57:10,happy
345,09:57:20,disgust
346,09:57:30,neutral
347,09:57:40,neutral
348,09:57:50,angry
349,09:58:00,angry
350,09:58:10,happy
351,09:58:20,happy
352,09:58:30,sad
353,09:58:40,neutral
354,09:58:50,sad
355,09:59:00,sad
356,09:59:10,sad
357,09:59:20,disgust
358,09:59:30,neutral
359,09:59:40,angry
360,09:59:50,angry
361,10:00:00,sad
362,10:00:10,neutral
363,10:00:20,angry
364,10:00:30,disgust
365,10:00:40,happy
366,10:00:50,sad
367,10:01:00,angry
368,10:01:10,happy
369,10:01:20,sad
370,10:01:30,happy
371,10:01:40,sad
372,10:01:50,happy
373,10:02:00,happy
374,10:02:10,angry
375,10:02:20,disgust
376,10:02:30,happy
377,10:02:40,angry
378,10:02:50,happy
379,10:03:00,angry
380,10:03:10,angry
381,10:03:20,sad
382,10:03:30,happy
383,10:03:40,angry
384,10:03:50,neutral
385,10:04:00,sad
386,10:04:10,disgust
387,10:04:20,angry
388,10:04:30,disgust
389,10:04:40,disgust
390,10:04:50,happy
391,10:05:00,sad
392,10:05:10,neutral
393,10:05:20,disgust
394,10:05:30,neutral
395,10:05:40,sad
396,10:05:50,sad
397,10:06:00,happy
398,10:06:10,sad
399,10:06:20,happy
400,10:06:30,happy
401,10:06:40,happy
402,10:06:50,sad
403,10:07:00,sad
404,10:07:10,sad
405,10:07:20,angry
406,10:07:30,disgust
407,10:07:40,disgust
408,10:07:50,angry
409,10:08:00,sad
410,10:08:10,sad
411,10:08:20,angry
412,10:08:30,disgust
413,10:08:40,angry
414,10:08:50,sad
415,10:09:00,sad
416,10:09:10,disgust
417,10:09:20,disgust
418,10:09:30,happy
419,10:09:40,angry
420,10:09:50,neutral
421,10:10:00,angry
422,10:10:10,sad
423,10:10:20,sad
424,10:10:30,disgust
425,10:10:40,angry
426,10:10:50,happy
427,10:11:00,disgust
428,10:11:10,sad
429,10:11:20,sad
430,10:11:30,disgust
431,10:11:40,sad
432,10:11:50,disgust
433,10:12:00,neutral
434,10:12:10,neutral
435,10:12:20,happy
436,10:12:30,sad
437,10:12:40,angry
438,10:12:50,neutral
439,10:13:00,sad
440,10:13:10,disgust
441,10:13:20,neutral
442,10:13:30,angry
443,10:13:40,happy
444,10:13:50,happy
445,10:14:00,angry
446,10:14:10,sad
447,10:14:20,disgust
448,10:14:30,disgust
449,10:14:40,disgust
450,10:14:50,angry
451,10:15:00,angry
452,10:15:10,neutral
453,10:15:20,happy
454,10:15:30,angry
455,10:15:40,sad
456,10:15:50,sad
457,10:16:00,angry
458,10:16:10,angry
459,10:16:20,disgust
460,10:16:30,angry
461,10:16:40,sad
462,10:16:50,happy
463,10:17:00,sad
464,10:17:10,disgust
465,10:17:20,sad
466,10:17:30,neutral
467,10:17:40,angry
468,10:17:50,sad
469,10:18:00,happy
470,10:18:10,happy
471,10:18:20,angry
472,10:18:30,sad
473,10:18:40,neutral
474,10:18:50,disgust
475,10:19:00,disgust
476,10:19:10,disgust
477,10:19:20,happy
478,10:19:30,happy
479,10:19:40,angry
480,10:19:50,neutral
481,10:20:00,angry
482,10:20:10,happy
483,10:20:20,disgust
484,10:20:30,disgust
485,10:20:40,happy
486,10:20:50,angry
487,10:21:00,disgust
488,10:21:10,neutral
489,10:21:20,sad
490,10:21:30,sad
491,10:21:40,disgust
492,10:21:50,sad
493,10:22:00,neutral
494,10:22:10,neutral
495,10:22:20,disgust
496,10:22:30,disgust
497,10:22:40,angry
498,10:22:50,disgust
499,10:23:00,disgust
500,10:23:10,sad
501,10:23:20,happy
502,10:23:30,happy
503,10:23:40,disgust
504,10:23:50,neutral
505,10:24:00,sad
506,10:24:10,disgust
507,10:24:20,happy
508,10:24:30,sad
509,10:24:40,angry
510,10:24:50,sad
511,10:25:00,disgust
512,10:25:10,angry
513,10:25:20,happy
514,10:25:30,disgust
515,10:25:40,happy
516,10:25:50,angry
517,10:26:00,happy
518,10:26:10,neutral
519,10:26:20,happy
520,10:26:30,sad
521,10:26:40,sad
522,10:26:50,disgust
523,10:27:00,angry
524,10:27:10,sad
525,10:27:20,happy
526,10:27:30,neutral
527,10:27:40,neutral
528,10:27:50,angry
529,10:28:00,neutral
530,10:28:10,angry
531,10:28:20,neutral
532,10:28:30,neutral
533,10:28:40,happy
534,10:28:50,angry
535,10:29:00,neutral
536,10:29:10,neutral
537,10:29:20,disgust
538,10:29:30,neutral
539,10:29:40,disgust
540,10:29:50,happy
541,10:30:00,angry
542,10:30:10,sad
543,10:30:20,sad
544,10:30:30,neutral
545,10:30:40,neutral
546,10:30:50,angry
547,10:31:00,angry
548,10:31:10,sad
549,10:31:20,disgust
550,10:31:30,happy
551,10:31:40,disgust
552,10:31:50,neutral
553,10:32:00,neutral
554,10:32:10,disgust
555,10:32:20,angry
556,10:32:30,angry
557,10:32:40,disgust
558,10:32:50,sad
559,10:33:00,neutral
560,10:33:10,sad
561,10:33:20,happy
562,10:33:30,happy
563,10:33:40,happy
564,10:33:50,neutral
565,10:34:00,sad
566,10:34:10,sad
567,10:34:20,neutral
568,10:34:30,angry
569,10:34:40,angry
570,10:34:50,sad
571,10:35:00,disgust
572,10:35:10,disgust
573,10:35:20,angry
574,10:35:30,neutral
575,10:35:40,neutral
576,10:35:50,happy
577,10:36:00,neutral
578,10:36:10,angry
579,10:36:20,sad
580,10:36:30,disgust
581,10:36:40,happy
582,10:36:50,neutral
583,10:37:00,disgust
584,10:37:10,sad
585,10:37:20,sad
586,10:37:30,disgust
587,10:37:40,neutral
588,10:37:50,angry
589,10:38:00,disgust
590,10:38:10,sad
591,10:38:20,neutral
592,10:38:30,angry
593,10:38:40,angry
594,10:38:50,disgust
595,10:39:00,sad
596,10:39:10,angry
597,10:39:20,angry
598,10:39:30,neutral
599,10:39:40,happy
600,10:39:50,sad
601,10:40:00,sad
602,10:40:10,angry
603,10:40:20,sad
604,10:40:30,neutral
605,10:40:40,happy
606,10:40:50,disgust
607,10:41:00,happy
608,10:41:10,sad
609,10:41:20,neutral
610,10:41:30,happy
611,10:41:40,disgust
612,10:41:50,disgust
613,10:42:00,neutral
614,10:42:10,angry
615,10:42:20,neutral
616,10:42:30,happy
617,10:42:40,sad
618,10:42:50,disgust
619,10:43:00,sad
620,10:43:10,neutral
621,10:43:20,neutral
622,10:43:30,happy
623,10:43:40,happy
624,10:43:50,disgust
625,10:44:00,disgust
626,10:44:10,angry
627,10:44:20,happy
628,10:44:30,sad
629,10:44:40,sad
630,10:44:50,happy
631,10:45:00,angry
632,10:45:10,sad
633,10:45:20,happy
634,10:45:30,disgust
635,10:45:40,angry
636,10:45:50,happy
637,10:46:00,disgust
638,10:46:10,happy
639,10:46:20,disgust
640,10:46:30,angry
641,10:46:40,happy
642,10:46:50,angry
643,10:47:00,angry
644,10:47:10,angry
645,10:47:20,disgust
646,10:47:30,neutral
647,10:47:40,sad
648,10:47:50,angry
649,10:48:00,happy
650,10:48:10,disgust
651,10:48:20,angry
652,10:48:30,neutral
653,10:48:40,sad
654,10:48:50,happy
655,10:49:00,disgust
656,10:49:10,sad
657,10:49:20,angry
658,10:49:30,disgust
659,10:49:40,disgust
660,10:49:50,disgust
661,10:50:00,disgust
662,10:50:10,sad
663,10:50:20,angry
664,10:50:30,sad
665,10:50:40,sad
666,10:50:50,disgust
667,10:51:00,happy
668,10:51:10,sad
669,10:51:20,happy
670,10:51:30,angry
671,10:51:40,disgust
672,10:51:50,sad
673,10:52:00,sad
674,10:52:10,happy
675,10:52:20,angry
676,10:52:30,happy
677,10:52:40,sad
678,10:52:50,angry
679,10:53:00,disgust
680,10:53:10,angry
681,10:53:20,disgust
682,10:53:30,angry
683,10:53:40,angry
684,10:53:50,angry
685,10:54:00,sad
686,10:54:10,happy
687,10:54:20,disgust
688,10:54:30,disgust
689,10:54:40,disgust
690,10:54:50,disgust
691,10:55:00,disgust
692,10:55:10,happy
693,10:55:20,happy
694,10:55:30,sad
695,10:55:40,disgust
696,10:55:50,sad
697,10:56:00,sad
698,10:56:10,happy
699,10:56:20,sad
700,10:56:30,neutral
701,10:56:40,disgust
702,10:56:50,sad
703,10:57:00,sad
704,10:57:10,angry
705,10:57:20,neutral
706,10:57:30,disgust
707,10:57:40,angry
708,10:57:50,happy
709,10:58:00,happy
710,10:58:10,disgust
711,10:58:20,happy
712,10:58:30,sad
713,10:58:40,happy
714,10:58:50,neutral
715,10:59:00,angry
716,10:59:10,disgust
717,10:59:20,disgust
718,10:59:30,angry
719,10:59:40,angry
720,10:59:50,angry
721,11:00:00,sad
722,11:00:10,happy
723,11:00:20,disgust
724,11:00:30,angry
725,11:00:40,neutral
726,11:00:50,angry
727,11:01:00,sad
728,11:01:10,sad
729,11:01:20,angry
730,11:01:30,neutral
731,11:01:40,sad
732,11:01:50,angry
733,11:02:00,sad
734,11:02:10,happy
735,11:02:20,angry
736,11:02:30,disgust
737,11:02:40,neutral
738,11:02:50,angry
739,11:03:00,sad
740,11:03:10,happy
741,11:03:20,angry
742,11:03:30,disgust
743,11:03:40,sad
744,11:03:50,happy
745,11:04:00,angry
746,11:04:10,sad
747,11:04:20,angry
748,11:04:30,disgust
749,11:04:40,happy
750,11:04:50,happy
751,11:05:00,happy
752,11:05:10,angry
753,11:05:20,disgust
754,11:05:30,angry
755,11:05:40,happy
756,11:05:50,disgust
757,11:06:00,sad
758,11:06:10,disgust
759,11:06:20,neutral
760,11:06:30,neutral
761,11:06:40,angry
762,11:06:50,sad
763,11:07:00,angry
764,11:07:10,neutral
765,11:07:20,sad
766,11:07:30,happy
767,11:07:40,disgust
768,11:07:50,sad
769,11:08:00,neutral
770,11:08:10,sad
771,11:08:20,neutral
772,11:08:30,happy
773,11:08:40,happy
774,11:08:50,angry
775,11:09:00,disgust
776,11:09:10,disgust
777,11:09:20,angry
778,11:09:30,disgust
779,11:09:40,happy
780,11:09:50,sad
781,11:10:00,disgust
782,11:10:10,happy
783,11:10:20,disgust
784,11:10:30,angry
785,11:10:40,disgust
786,11:10:50,disgust
787,11:11:00,happy
788,11:11:10,disgust
789,11:11:20,happy
790,11:11:30,happy
791,11:11:40,angry
792,11:11:50,angry
793,11:12:00,angry
794,11:12:10,happy
795,11:12:20,happy
796,11:12:30,disgust
797,11:12:40,sad
798,11:12:50,angry
799,11:13:00,disgust
800,11:13:10,angry
801,11:13:20,happy
802,11:13:30,disgust
803,11:13:40,happy
804,11:13:50,neutral
805,11:14:00,happy
806,11:14:10,angry
807,11:14:20,sad
808,11:14:30,happy
809,11:14:40,neutral
810,11:14:50,disgust
811,11:15:00,sad
812,11:15:10,disgust
813,11:15:20,angry
814,11:15:30,disgust
815,11:15:40,sad
816,11:15:50,happy
817,11:16:00,happy
818,11:16:10,disgust
819,11:16:20,neutral
820,11:16:30,happy
821,11:16:40,happy
822,11:16:50,sad
823,11:17:00,neutral
824,11:17:10,angry
825,11:17:20,neutral
826,11:17:30,happy
827,11:17:40,angry
828,11:17:50,angry
829,11:18:00,neutral
830,11:18:10,happy
831,11:18:20,happy
832,11:18:30,neutral
833,11:18:40,sad
834,11:18:50,angry
835,11:19:00,sad
836,11:19:10,angry
837,11:19:20,disgust
838,11:19:30,sad
839,11:19:40,angry
840,11:19:50,disgust
841,11:20:00,sad
842,11:20:10,sad
843,11:20:20,neutral
844,11:20:30,neutral
845,11:20:40,disgust
846,11:20:50,happy
847,11:21:00,neutral
848,11:21:10,neutral
849,11:21:20,happy
850,11:21:30,happy
851,11:21:40,neutral
852,11:21:50,angry
853,11:22:00,neutral
854,11:22:10,angry
855,11:22:20,sad
856,11:22:30,neutral
857,11:22:40,neutral
858,11:22:50,happy
859,11:23:00,angry
860,11:23:10,neutral
861,11:23:20,sad
862,11:23:30,angry
863,11:23:40,happy
864,11:23:50,neutral
865,11:24:00,neutral
866,11:24:10,angry
867,11:24:20,sad
868,11:24:30,sad
869,11:24:40,sad
870,11:24:50,disgust
871,11:25:00,disgust
872,11:25:10,happy
873,11:25:20,disgust
874,11:25:30,neutral
875,11:25:40,neutral
876,11:25:50,angry
877,11:26:00,sad
878,11:26:10,sad
879,11:26:20,neutral
880,11:26:30,sad
881,11:26:40,disgust
882,11:26:50,disgust
883,11:27:00,sad
884,11:27:10,angry
885,11:27:20,disgust
886,11:27:30,disgust
887,11:27:40,happy
888,11:27:50,angry
889,11:28:00,neutral
890,11:28:10,neutral
891,11:28:20,happy
892,11:28:30,happy
893,11:28:40,sad
894,11:28:50,happy
895,11:29:00,disgust
896,11:29:10,neutral
897,11:29:20,angry
898,11:29:30,sad
899,11:29:40,happy
900,11:29:50,sad
901,11:30:00,happy
902,11:30:10,happy
903,11:30:20,sad
904,11:30:30,happy
905,11:30:40,angry
906,11:30:50,happy
907,11:31:00,disgust
908,11:31:10,sad
909,11:31:20,disgust
910,11:31:30,sad
911,11:31:40,neutral
912,11:31:50,neutral
913,11:32:00,disgust
914,11:32:10,neutral
915,11:32:20,neutral
916,11:32:30,neutral
917,11:32:40,neutral
918,11:32:50,sad
919,11:33:00,happy
920,11:33:10,happy
921,11:33:20,neutral
922,11:33:30,angry
923,11:33:40,disgust
924,11:33:50,sad
925,11:34:00,happy
926,11:34:10,sad
927,11:34:20,happy
928,11:34:30,angry
929,11:34:40,sad
930,11:34:50,neutral
931,11:35:00,neutral
932,11:35:10,sad
933,11:35:20,happy
934,11:35:30,sad
935,11:35:40,sad
936,11:35:50,angry
937,11:36:00,disgust
938,11:36:10,sad
939,11:36:20,sad
940,11:36:30,angry
941,11:36:40,disgust
942,11:36:50,angry
943,11:37:00,disgust
944,11:37:10,disgust
945,11:37:20,sad
946,11:37:30,sad
947,11:37:40,angry
948,11:37:50,happy
949,11:38:00,happy
950,11:38:10,happy
951,11:38:20,angry
952,11:38:30,angry
953,11:38:40,happy
954,11:38:50,angry
955,11:39:00,disgust
956,11:39:10,neutral
957,11:39:20,angry
958,11:39:30,sad
959,11:39:40,angry
960,11:39:50,angry
961,11:40:00,disgust
962,11:40:10,sad
963,11:40:20,sad
964,11:40:30,happy
965,11:40:40,neutral
966,11:40:50,disgust
967,11:41:00,sad
968,11:41:10,disgust
969,11:41:20,angry
970,11:41:30,disgust
971,11:41:40,happy
972,11:41:50,happy
973,11:42:00,neutral
974,11:42:10,happy
975,11:42:20,sad
976,11:42:30,angry
977,11:42:40,angry
978,11:42:50,disgust
979,11:43:00,disgust
980,11:43:10,happy
981,11:43:20,angry
982,11:43:30,disgust
983,11:43:40,sad
984,11:43:50,disgust
985,11:44:00,neutral
986,11:44:10,sad
987,11:44:20,neutral
988,11:44:30,angry
989,11:44:40,happy
990,11:44:50,angry
991,11:45:00,disgust
992,11:45:10,disgust
993,11:45:20,happy
994,11:45:30,angry
995,11:45:40,happy
996,11:45:50,sad
997,11:46:00,sad
998,11:46:10,neutral
999,11:46:20,angry
1000,11:46:30,neutral
1001,11:46:40,angry
1002,11:46:50,angry
1003,11:47:00,happy
1004,11:47:10,neutral
1005,11:47:20,neutral
1006,11:47:30,sad
1007,11:47:40,disgust
1008,11:47:50,sad
1009,11:48:00,sad
1010,11:48:10,angry
1011,11:48:20,disgust
1012,11:48:30,disgust
1013,11:48:40,sad
1014,11:48:50,happy
1015,11:49:00,neutral
1016,11:49:10,happy
1017,11:49:20,sad
1018,11:49:30,sad
1019,11:49:40,happy
1020,11:49:50,sad
1021,11:50:00,angry
1022,11:50:10,disgust
1023,11:50:20,angry
1024,11:50:30,sad
1025,11:50:40,disgust
1026,11:50:50,happy
1027,11:51:00,angry
1028,11:51:10,angry
1029,11:51:20,angry
1030,11:51:30,angry
1031,11:51:40,neutral
1032,11:51:50,disgust
1033,11:52:00,happy
1034,11:52:10,angry
1035,11:52:20,angry
1036,11:52:30,happy
1037,11:52:40,happy
1038,11:52:50,neutral
1039,11:53:00,disgust
1040,11:53:10,angry
1041,11:53:20,happy
1042,11:53:30,sad
1043,11:53:40,sad
1044,11:53:50,neutral
1045,11:54:00,neutral
1046,11:54:10,neutral
1047,11:54:20,angry
1048,11:54:30,angry
1049,11:54:40,disgust
1050,11:54:50,disgust
1051,11:55:00,disgust
1052,11:55:10,sad
1053,11:55:20,disgust
1054,11:55:30,sad
1055,11:55:40,neutral
1056,11:55:50,angry
1057,11:56:00,happy
1058,11:56:10,sad
1059,11:56:20,happy
1060,11:56:30,angry
1061,11:56:40,disgust
1062,11:56:50,angry
1063,11:57:00,disgust
1064,11:57:10,neutral
1065,11:57:20,neutral
1066,11:57:30,angry
1067,11:57:40,happy
1068,11:57:50,angry
1069,11:58:00,neutral
1070,11:58:10,sad
1071,11:58:20,disgust
1072,11:58:30,disgust
1073,11:58:40,sad
1074,11:58:50,neutral
1075,11:59:00,sad
1076,11:59:10,disgust
1077,11:59:20,disgust
1078,11:59:30,disgust
1079,11:59:40,happy
1080,11:59:50,neutral
1081,12:00:00,neutral
1082,12:00:10,angry
1083,12:00:20,disgust
1084,12:00:30,happy
1085,12:00:40,happy
1086,12:00:50,disgust
1087,12:01:00,neutral
1088,12:01:10,neutral
1089,12:01:20,sad
1090,12:01:30,sad
1091,12:01:40,angry
1092,12:01:50,angry
1093,12:02:00,angry
1094,12:02:10,happy
1095,12:02:20,neutral
1096,12:02:30,angry
1097,12:02:40,angry
1098,12:02:50,sad
1099,12:03:00,angry
1100,12:03:10,disgust
1101,12:03:20,sad
1102,12:03:30,angry
1103,12:03:40,angry
1104,12:03:50,happy
1105,12:04:00,sad
1106,12:04:10,angry
1107,12:04:20,neutral
1108,12:04:30,sad
1109,12:04:40,sad
1110,12:04:50,happy
1111,12:05:00,sad
1112,12:05:10,disgust
1113,12:05:20,happy
1114,12:05:30,disgust
1115,12:05:40,neutral
1116,12:05:50,angry
1117,12:06:00,neutral
1118,12:06:10,disgust
1119,12:06:20,neutral
1120,12:06:30,angry
1121,12:06:40,happy
1122,12:06:50,angry
1123,12:07:00,disgust
1124,12:07:10,neutral
1125,12:07:20,happy
1126,12:07:30,disgust
1127,12:07:40,angry
1128,12:07:50,disgust
1129,12:08:00,sad
1130,12:08:10,disgust
1131,12:08:20,disgust
1132,12:08:30,disgust
1133,12:08:40,disgust
1134,12:08:50,neutral
1135,12:09:00,neutral
1136,12:09:10,happy
1137,12:09:20,happy
1138,12:09:30,neutral
1139,12:09:40,happy
1140,12:09:50,disgust
1141,12:10:00,happy
1142,12:10:10,angry
1143,12:10:20,angry
1144,12:10:30,angry
1145,12:10:40,neutral
1146,12:10:50,neutral
1147,12:11:00,angry
1148,12:11:10,happy
1149,12:11:20,happy
1150,12:11:30,neutral
1151,12:11:40,neutral
1152,12:11:50,happy
1153,12:12:00,angry
1154,12:12:10,neutral
1155,12:12:20,angry
1156,12:12:30,neutral
1157,12:12:40,sad
1158,12:12:50,angry
1159,12:13:00,angry
1160,12:13:10,happy
1161,12:13:20,disgust
1162,12:13:30,disgust
1163,12:13:40,angry
1164,12:13:50,angry
1165,12:14:00,happy
1166,12:14:10,neutral
1167,12:14:20,angry
1168,12:14:30,neutral
1169,12:14:40,neutral
1170,12:14:50,disgust
1171,12:15:00,neutral
1172,12:15:10,angry
1173,12:15:20,happy
1174,12:15:30,sad
1175,12:15:40,angry
1176,12:15:50,neutral
1177,12:16:00,angry
1178,12:16:10,sad
1179,12:16:20,disgust
1180,12:16:30,disgust
1181,12:16:40,sad
1182,12:16:50,sad
1183,12:17:00,angry
1184,12:17:10,angry
1185,12:17:20,sad
1186,12:17:30,neutral
1187,12:17:40,angry
1188,12:17:50,angry
1189,12:18:00,angry
1190,12:18:10,sad
1191,12:18:20,sad
1192,12:18:30,angry
1193,12:18:40,angry
1194,12:18:50,happy
1195,12:19:00,angry
1196,12:19:10,angry
1197,12:19:20,angry
1198,12:19:30,happy
1199,12:19:40,angry
1200,12:19:50,neutral
1201,12:20:00,sad
1202,12:20:10,disgust
1203,12:20:20,sad
1204,12:20:30,angry
1205,12:20:40,happy
1206,12:20:50,neutral
1207,12:21:00,disgust
1208,12:21:10,neutral
